2025-03-30 19:50:44.337 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Транспорт с ID 9 в кэше
2025-03-30 19:50:44.337 INFO  o.e.a.logging.LoggingAspect - Транспорт с ID 9 успешно добавлен/обновлен в кэше
2025-03-30 19:50:44.337 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Транспорт с ID 10 в кэше
2025-03-30 19:50:44.337 INFO  o.e.a.logging.LoggingAspect - Транспорт с ID 10 успешно добавлен/обновлен в кэше
2025-03-30 19:50:44.337 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: TransportController.getAllTransports() с результатом: [TransportDto(id=3, name=Bus, capacity=50, cost=10.43), TransportDto(id=5, name=Car, capacity=4, cost=88.47), TransportDto(id=6, name=Bicycle, capacity=1, cost=5.0), TransportDto(id=7, name=Horse, capacity=1, cost=55.89), TransportDto(id=8, name=Plane, capacity=150, cost=67.8), TransportDto(id=9, name=Luxary Bus, capacity=20, cost=120.45), TransportDto(id=10, name=Jet, capacity=15, cost=259.48)]
2025-03-30 19:50:54.155 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: TourController.getAllTours() с аргументами: []
2025-03-30 19:50:54.155 INFO  o.e.a.logging.LoggingAspect - Все Тур успешно получены из кэша, количество: 0
2025-03-30 19:50:54.173 INFO  o.e.a.logging.LoggingAspect - Все Неизвестный тип успешно получены из базы данных, количество: 15
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 2 в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Тур с ID 2 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 3 в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Тур с ID 3 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 7 в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Тур с ID 7 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 9 в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Тур с ID 9 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 10 в кэше
