2025-03-18 14:23:04.300 INFO  o.e.a.AdventureTimeApplication - Starting AdventureTimeApplication using Java 23.0.2 with PID 5488 (C:\Users\alexe\IdeaProjects\AdventureTime\target\classes started by alexe in C:\Users\alexe\IdeaProjects\AdventureTime)
2025-03-18 14:23:04.303 INFO  o.e.a.AdventureTimeApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-18 14:23:05.497 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-18 14:23:05.579 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 72 ms. Found 3 JPA repository interfaces.
2025-03-18 14:23:06.559 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-03-18 14:23:06.578 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-18 14:23:06.580 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-18 14:23:06.580 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-03-18 14:23:06.666 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-18 14:23:06.666 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2270 ms
2025-03-18 14:23:06.947 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-18 14:23:07.044 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.5.Final
2025-03-18 14:23:07.090 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-18 14:23:07.582 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-18 14:23:07.628 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-18 14:23:07.832 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3568ea59
2025-03-18 14:23:07.835 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-18 14:23:07.886 WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.7.24 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2025-03-18 14:23:07.891 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-03-18 14:23:07.915 INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 5.7.24
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-03-18 14:23:09.304 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-18 14:23:09.446 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-18 14:23:10.278 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-03-18 14:23:11.535 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
